##1
#EAN Location Code,0,13,0
#Company Name,0,50,0
#Customer Code,0,25,0
#Short Name,0,10,0
#
|78           |บมจ.ซีพีแอ็กซ์ตร้า สาขาที่ 78 (สาขากัลปพฤกษ์)     |983685                   |MAKRO    
|79           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 79 (สาขายโสธร)        |491032                   |MAKRO    
|8            |บมจ.  ซีพีแอ็กซ์ตร้า สาขาที่ 8 (รังสิต)           |981039                   |MAKRO    
|80           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 80 (สาขามหาสารคาม)    |471049                   |MAKRO    
|801          |บมจ. ซีพีแอ็กซ์ตร้าสาขาที่ 2 (คลังสินค้าแจ้งวัฒนะ)|983783                   |MAKRO    
|81           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 81 (สาขาฝาง)          |11199                    |MAKRO     
|82           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 82  (สาขานครนายก)     |371036                   |MAKRO    
|83           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 83 (สาขานครอิน)       |983694                   |MAKRO    
|84           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 84 (บ้านเพ)           |331056                   |MAKRO    
|85           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 85  (ทุ่งสง)          |731121                   |MAKRO    
|86           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 86  (ศรีนครินทร์ 2)   |983705                   |MAKRO    
|87           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 87 (พะเยา)            |181044                   |MAKRO    
|88           |บมจ. ซีพีแอ็กซ์ตร้า สาขาที่ 88 (คลังสินค้าน้ำชบา1)|983316                   |MAKRO    
|881          |บมจ. ซีพีแอ็กซ์ตร้า คลังวังน้อย                   |983316                   |MAKRO    
|882          |บมจ. ซีพีแอ็กซ์ตร้ คลังบางนา  (คลังสินค้าน้ำชบา 2)|983634                   |MAKRO    
|883          |บมจ. ซีพีแอ็กซ์ตร้า สาขา 883 (วังน้อย 2)          |983747                   |MAKRO    
|885          |บมจ. ซีพีแอ็กซ์ตร้า (วังน้อย 2) Food Service Store|983803                   |MAKRO    
|8850051000007|CP. 7-ELEVEN                                      |982027                   |SEVEN    
|8850132999817|บริษัท เดอะมอลล์กรุ๊ป จำกัด                       |983763                   |TMALL    
|8850132999992|บริษัท เดอะมอลล์กรุ๊ป จำกัด                       |983763                   |THEMALL    
|8850205900818|บ.อิออน (ไทยแลนด์) จก.                            |982072                   |JUSCO    
|8850205900832|บ.อิออน(ไทยแลนด์) จก. สาขาปทุมธานี ซี.พี.เซ็นเตอร์|983926                   |JUSCO    
|8850205900849|บ.อิออน(ไทยแลนด์) จก. ศูนย์กระจายสินค้าปทุมธานี   |983926                   |JUSCO    
|8850205900917|บ.อิออน(ไทยแลนด์) จก.                             |982072                   |JUSCO    
|8850970500848|บ.ซี.เจ.เอ็กซ์เพลส กรุ๊ป จก.                      |231086                   |CJ    
|8850970503061|บริษัท ทีดี ตะวันแดง จำกัด                        |983855                   |TD    
|8853474017263|บริษัทเซ็นทรัลฟู้ดรีเทล จำกัด (พระราม3)           |983587                   |TOPS    
|8853474017546|บริษัท  เซ็นทรัสฟู้ดรีเทล จำกัด                   |983572                   |TOPS    
|8853474019991|เซ็นทรัล ฟู้ด รีเทล กรุ๊ป  สาขาดีซี               |982532                   |TOP    
|8853966022799|Carrefour IDS Logistics (DC on store)             |983160                   |CFOUR    
|8853966026490|บริษัท เซ็นคาร์ จำกัด (สาขาสุขาภิบาล 3 )          |982054                   |CFOUR    
|8853966026506|บริษัท เซ็นคาร์ จำกัด (สาขาศรีนครินทร์)           |982068                   |CFOUR    
|8853966026513|บริษัท เซ็นคาร์ จำกัด (สาขาสุวินทร์วงศ์)          |982154                   |CFOUR    
|8853966026520|บริษัท เซ็นคาร์ จำกัด (สาขาบางใหญ่)               |982205                   |CFOUR    
|8853966026537|บริษัท เซ็นคาร์ จำกัด (สาขารังสิต)                |982204                   |CFOUR    
|8853966026544|บริษัท เซ็นคาร์ จำกัด (สาขาเชียงใหม่)             |011163                   |CFOUR    
